PING 10.45.1.1 (10.45.1.1) 56(84) bytes of data.
64 bytes from 10.45.1.1: icmp_seq=82 ttl=64 time=83.5 ms
64 bytes from 10.45.1.1: icmp_seq=83 ttl=64 time=51.3 ms
64 bytes from 10.45.1.1: icmp_seq=84 ttl=64 time=73.8 ms
64 bytes from 10.45.1.1: icmp_seq=85 ttl=64 time=36.7 ms
64 bytes from 10.45.1.1: icmp_seq=86 ttl=64 time=46.7 ms
64 bytes from 10.45.1.1: icmp_seq=87 ttl=64 time=47.4 ms
64 bytes from 10.45.1.1: icmp_seq=88 ttl=64 time=63.2 ms
64 bytes from 10.45.1.1: icmp_seq=89 ttl=64 time=73.0 ms
64 bytes from 10.45.1.1: icmp_seq=90 ttl=64 time=66.4 ms
64 bytes from 10.45.1.1: icmp_seq=91 ttl=64 time=58.8 ms
64 bytes from 10.45.1.1: icmp_seq=92 ttl=64 time=62.4 ms
64 bytes from 10.45.1.1: icmp_seq=93 ttl=64 time=59.4 ms
64 bytes from 10.45.1.1: icmp_seq=94 ttl=64 time=61.0 ms
64 bytes from 10.45.1.1: icmp_seq=95 ttl=64 time=44.7 ms
64 bytes from 10.45.1.1: icmp_seq=96 ttl=64 time=58.9 ms
64 bytes from 10.45.1.1: icmp_seq=97 ttl=64 time=51.9 ms
64 bytes from 10.45.1.1: icmp_seq=98 ttl=64 time=65.5 ms
64 bytes from 10.45.1.1: icmp_seq=99 ttl=64 time=62.6 ms
64 bytes from 10.45.1.1: icmp_seq=100 ttl=64 time=39.4 ms
64 bytes from 10.45.1.1: icmp_seq=101 ttl=64 time=37.9 ms
64 bytes from 10.45.1.1: icmp_seq=102 ttl=64 time=51.8 ms
64 bytes from 10.45.1.1: icmp_seq=103 ttl=64 time=46.5 ms
64 bytes from 10.45.1.1: icmp_seq=104 ttl=64 time=32.8 ms
64 bytes from 10.45.1.1: icmp_seq=105 ttl=64 time=50.4 ms
64 bytes from 10.45.1.1: icmp_seq=106 ttl=64 time=56.1 ms
64 bytes from 10.45.1.1: icmp_seq=107 ttl=64 time=48.9 ms
64 bytes from 10.45.1.1: icmp_seq=108 ttl=64 time=39.7 ms
64 bytes from 10.45.1.1: icmp_seq=109 ttl=64 time=49.1 ms
64 bytes from 10.45.1.1: icmp_seq=110 ttl=64 time=61.2 ms
64 bytes from 10.45.1.1: icmp_seq=111 ttl=64 time=50.3 ms
64 bytes from 10.45.1.1: icmp_seq=112 ttl=64 time=76.1 ms
64 bytes from 10.45.1.1: icmp_seq=113 ttl=64 time=32.0 ms
64 bytes from 10.45.1.1: icmp_seq=114 ttl=64 time=68.5 ms
64 bytes from 10.45.1.1: icmp_seq=115 ttl=64 time=74.2 ms
64 bytes from 10.45.1.1: icmp_seq=116 ttl=64 time=85.3 ms
64 bytes from 10.45.1.1: icmp_seq=117 ttl=64 time=46.3 ms
64 bytes from 10.45.1.1: icmp_seq=118 ttl=64 time=93.8 ms
64 bytes from 10.45.1.1: icmp_seq=119 ttl=64 time=73.1 ms
64 bytes from 10.45.1.1: icmp_seq=120 ttl=64 time=69.0 ms
64 bytes from 10.45.1.1: icmp_seq=121 ttl=64 time=69.7 ms
64 bytes from 10.45.1.1: icmp_seq=122 ttl=64 time=63.9 ms
64 bytes from 10.45.1.1: icmp_seq=123 ttl=64 time=69.7 ms
64 bytes from 10.45.1.1: icmp_seq=124 ttl=64 time=47.9 ms
64 bytes from 10.45.1.1: icmp_seq=125 ttl=64 time=47.2 ms
64 bytes from 10.45.1.1: icmp_seq=126 ttl=64 time=40.5 ms
64 bytes from 10.45.1.1: icmp_seq=127 ttl=64 time=126 ms
64 bytes from 10.45.1.1: icmp_seq=128 ttl=64 time=59.7 ms
64 bytes from 10.45.1.1: icmp_seq=129 ttl=64 time=83.7 ms
64 bytes from 10.45.1.1: icmp_seq=130 ttl=64 time=86.0 ms
64 bytes from 10.45.1.1: icmp_seq=131 ttl=64 time=58.5 ms
64 bytes from 10.45.1.1: icmp_seq=132 ttl=64 time=46.7 ms
64 bytes from 10.45.1.1: icmp_seq=133 ttl=64 time=56.9 ms
64 bytes from 10.45.1.1: icmp_seq=134 ttl=64 time=74.6 ms
64 bytes from 10.45.1.1: icmp_seq=135 ttl=64 time=50.3 ms
64 bytes from 10.45.1.1: icmp_seq=136 ttl=64 time=73.1 ms
64 bytes from 10.45.1.1: icmp_seq=137 ttl=64 time=81.4 ms
64 bytes from 10.45.1.1: icmp_seq=138 ttl=64 time=104 ms
64 bytes from 10.45.1.1: icmp_seq=139 ttl=64 time=64.9 ms
64 bytes from 10.45.1.1: icmp_seq=140 ttl=64 time=96.6 ms
64 bytes from 10.45.1.1: icmp_seq=141 ttl=64 time=44.8 ms
64 bytes from 10.45.1.1: icmp_seq=142 ttl=64 time=42.4 ms
64 bytes from 10.45.1.1: icmp_seq=143 ttl=64 time=71.1 ms
64 bytes from 10.45.1.1: icmp_seq=144 ttl=64 time=51.6 ms
64 bytes from 10.45.1.1: icmp_seq=145 ttl=64 time=82.7 ms
64 bytes from 10.45.1.1: icmp_seq=146 ttl=64 time=70.3 ms
64 bytes from 10.45.1.1: icmp_seq=147 ttl=64 time=67.9 ms
64 bytes from 10.45.1.1: icmp_seq=148 ttl=64 time=82.8 ms
64 bytes from 10.45.1.1: icmp_seq=149 ttl=64 time=44.1 ms
64 bytes from 10.45.1.1: icmp_seq=150 ttl=64 time=70.2 ms
64 bytes from 10.45.1.1: icmp_seq=151 ttl=64 time=69.0 ms
64 bytes from 10.45.1.1: icmp_seq=152 ttl=64 time=84.0 ms
64 bytes from 10.45.1.1: icmp_seq=153 ttl=64 time=65.0 ms
64 bytes from 10.45.1.1: icmp_seq=154 ttl=64 time=86.4 ms
64 bytes from 10.45.1.1: icmp_seq=155 ttl=64 time=76.1 ms
64 bytes from 10.45.1.1: icmp_seq=156 ttl=64 time=59.5 ms
64 bytes from 10.45.1.1: icmp_seq=157 ttl=64 time=51.1 ms
64 bytes from 10.45.1.1: icmp_seq=158 ttl=64 time=78.1 ms
64 bytes from 10.45.1.1: icmp_seq=159 ttl=64 time=64.4 ms
64 bytes from 10.45.1.1: icmp_seq=160 ttl=64 time=66.5 ms
64 bytes from 10.45.1.1: icmp_seq=161 ttl=64 time=79.7 ms
64 bytes from 10.45.1.1: icmp_seq=162 ttl=64 time=87.2 ms
64 bytes from 10.45.1.1: icmp_seq=163 ttl=64 time=45.3 ms
64 bytes from 10.45.1.1: icmp_seq=164 ttl=64 time=56.4 ms
64 bytes from 10.45.1.1: icmp_seq=165 ttl=64 time=70.1 ms
64 bytes from 10.45.1.1: icmp_seq=166 ttl=64 time=65.3 ms
64 bytes from 10.45.1.1: icmp_seq=167 ttl=64 time=43.4 ms
64 bytes from 10.45.1.1: icmp_seq=168 ttl=64 time=72.1 ms
64 bytes from 10.45.1.1: icmp_seq=169 ttl=64 time=55.9 ms
64 bytes from 10.45.1.1: icmp_seq=170 ttl=64 time=47.3 ms
64 bytes from 10.45.1.1: icmp_seq=171 ttl=64 time=72.3 ms
64 bytes from 10.45.1.1: icmp_seq=172 ttl=64 time=47.8 ms
64 bytes from 10.45.1.1: icmp_seq=173 ttl=64 time=68.5 ms
