PING 10.45.1.1 (10.45.1.1) 56(84) bytes of data.
64 bytes from 10.45.1.1: icmp_seq=138 ttl=64 time=40.6 ms
64 bytes from 10.45.1.1: icmp_seq=139 ttl=64 time=83.5 ms
64 bytes from 10.45.1.1: icmp_seq=140 ttl=64 time=27.7 ms
64 bytes from 10.45.1.1: icmp_seq=141 ttl=64 time=69.7 ms
64 bytes from 10.45.1.1: icmp_seq=142 ttl=64 time=56.0 ms
64 bytes from 10.45.1.1: icmp_seq=143 ttl=64 time=59.9 ms
64 bytes from 10.45.1.1: icmp_seq=144 ttl=64 time=33.7 ms
64 bytes from 10.45.1.1: icmp_seq=145 ttl=64 time=41.0 ms
64 bytes from 10.45.1.1: icmp_seq=146 ttl=64 time=32.4 ms
64 bytes from 10.45.1.1: icmp_seq=147 ttl=64 time=26.1 ms
64 bytes from 10.45.1.1: icmp_seq=148 ttl=64 time=47.0 ms
64 bytes from 10.45.1.1: icmp_seq=149 ttl=64 time=52.8 ms
64 bytes from 10.45.1.1: icmp_seq=150 ttl=64 time=69.0 ms
64 bytes from 10.45.1.1: icmp_seq=151 ttl=64 time=32.6 ms
64 bytes from 10.45.1.1: icmp_seq=152 ttl=64 time=108 ms
64 bytes from 10.45.1.1: icmp_seq=153 ttl=64 time=74.3 ms
64 bytes from 10.45.1.1: icmp_seq=154 ttl=64 time=50.6 ms
64 bytes from 10.45.1.1: icmp_seq=155 ttl=64 time=34.7 ms
64 bytes from 10.45.1.1: icmp_seq=156 ttl=64 time=33.4 ms
64 bytes from 10.45.1.1: icmp_seq=157 ttl=64 time=52.5 ms
64 bytes from 10.45.1.1: icmp_seq=158 ttl=64 time=44.2 ms
64 bytes from 10.45.1.1: icmp_seq=159 ttl=64 time=80.7 ms
64 bytes from 10.45.1.1: icmp_seq=160 ttl=64 time=81.8 ms
64 bytes from 10.45.1.1: icmp_seq=161 ttl=64 time=74.8 ms
64 bytes from 10.45.1.1: icmp_seq=162 ttl=64 time=82.3 ms
64 bytes from 10.45.1.1: icmp_seq=163 ttl=64 time=59.7 ms
64 bytes from 10.45.1.1: icmp_seq=164 ttl=64 time=36.0 ms
64 bytes from 10.45.1.1: icmp_seq=165 ttl=64 time=28.9 ms
64 bytes from 10.45.1.1: icmp_seq=166 ttl=64 time=64.7 ms
64 bytes from 10.45.1.1: icmp_seq=167 ttl=64 time=52.4 ms
64 bytes from 10.45.1.1: icmp_seq=168 ttl=64 time=53.2 ms
64 bytes from 10.45.1.1: icmp_seq=169 ttl=64 time=34.5 ms
64 bytes from 10.45.1.1: icmp_seq=170 ttl=64 time=36.0 ms
64 bytes from 10.45.1.1: icmp_seq=171 ttl=64 time=32.0 ms
64 bytes from 10.45.1.1: icmp_seq=172 ttl=64 time=27.5 ms
64 bytes from 10.45.1.1: icmp_seq=173 ttl=64 time=33.6 ms
64 bytes from 10.45.1.1: icmp_seq=174 ttl=64 time=50.2 ms
64 bytes from 10.45.1.1: icmp_seq=175 ttl=64 time=34.7 ms
64 bytes from 10.45.1.1: icmp_seq=176 ttl=64 time=51.7 ms
64 bytes from 10.45.1.1: icmp_seq=177 ttl=64 time=59.4 ms
64 bytes from 10.45.1.1: icmp_seq=178 ttl=64 time=34.9 ms
64 bytes from 10.45.1.1: icmp_seq=179 ttl=64 time=52.3 ms
64 bytes from 10.45.1.1: icmp_seq=180 ttl=64 time=44.4 ms
64 bytes from 10.45.1.1: icmp_seq=181 ttl=64 time=45.2 ms
